,symptom,k,Accuracy,Precision,Recall,F1,sensitivity,specificity,BAC,WF1,AUC
17,Red_conj,7,0.71,0.6304347826086957,0.7073170731707317,0.6666666666666667,0.7073170731707317,0.711864406779661,0.7095907399751964,0.7119174041297935,0.7095907399751963
18,Red_conj,8,0.68,0.5918367346938775,0.7073170731707317,0.6444444444444445,0.7073170731707317,0.6610169491525424,0.684167011161637,0.6825858585858586,0.684167011161637
19,Red_conj,9,0.67,0.5869565217391305,0.6585365853658537,0.6206896551724138,0.6585365853658537,0.6779661016949152,0.6682513435303845,0.6721818736649374,0.6682513435303844
20,Swl_crncl,0,0.85,0.3333333333333333,0.36363636363636365,0.34782608695652173,0.36363636363636365,0.9101123595505618,0.6368743615934627,0.8528371407516581,0.6368743615934628
21,Swl_crncl,1,0.83,0.2857142857142857,0.36363636363636365,0.32,0.36363636363636365,0.8876404494382022,0.6256384065372829,0.8387428571428569,0.625638406537283
22,Swl_crncl,2,0.84,0.3076923076923077,0.36363636363636365,0.33333333333333337,0.36363636363636365,0.898876404494382,0.6312563840653729,0.8457575757575758,0.6312563840653729
23,Swl_crncl,3,0.84,0.3076923076923077,0.36363636363636365,0.33333333333333337,0.36363636363636365,0.898876404494382,0.6312563840653729,0.8457575757575758,0.6312563840653729
24,Swl_crncl,4,0.83,0.2857142857142857,0.36363636363636365,0.32,0.36363636363636365,0.8876404494382022,0.6256384065372829,0.8387428571428569,0.625638406537283
25,Swl_crncl,5,0.81,0.25,0.36363636363636365,0.2962962962962963,0.36363636363636365,0.8651685393258427,0.6144024514811032,0.8248469278527081,0.6144024514811033
26,Swl_crncl,6,0.82,0.29411764705882354,0.45454545454545453,0.35714285714285715,0.45454545454545453,0.8651685393258427,0.6598569969356486,0.8361461794019934,0.6598569969356486
27,Swl_crncl,7,0.86,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.9213483146067416,0.6424923391215527,0.86,0.6424923391215527
28,Swl_crncl,8,0.83,0.3125,0.45454545454545453,0.3703703703703703,0.45454545454545453,0.8764044943820225,0.6654749744637385,0.8432840933418969,0.6654749744637385
29,Swl_crncl,9,0.84,0.3333333333333333,0.45454545454545453,0.3846153846153846,0.45454545454545453,0.8876404494382022,0.6710929519918284,0.8504686118479221,0.6710929519918284
30,Swl_lid,0,0.74,0.868421052631579,0.8048780487804879,0.8354430379746836,0.8048780487804879,0.4444444444444444,0.6246612466124661,0.7536347197106692,0.6246612466124661
31,Swl_lid,1,0.72,0.8461538461538461,0.8048780487804879,0.8250000000000001,0.8048780487804879,0.3333333333333333,0.5691056910569106,0.7305000000000001,0.5691056910569106
32,Swl_lid,2,0.72,0.8375,0.8170731707317073,0.8271604938271605,0.8170731707317073,0.2777777777777778,0.5474254742547425,0.7256400259909032,0.5474254742547424
33,Swl_lid,3,0.75,0.8701298701298701,0.8170731707317073,0.8427672955974842,0.8170731707317073,0.4444444444444444,0.6307588075880759,0.7613130848289614,0.6307588075880758
34,Swl_lid,4,0.73,0.8481012658227848,0.8170731707317073,0.8322981366459627,0.8170731707317073,0.3333333333333333,0.5752032520325203,0.7378690874343047,0.5752032520325203
35,Swl_lid,5,0.76,0.8918918918918919,0.8048780487804879,0.8461538461538461,0.8048780487804879,0.5555555555555556,0.6802168021680217,0.7756643356643358,0.6802168021680217
36,Swl_lid,6,0.75,0.8904109589041096,0.7926829268292683,0.8387096774193549,0.7926829268292683,0.5555555555555556,0.674119241192412,0.767741935483871,0.674119241192412
37,Swl_lid,7,0.74,0.868421052631579,0.8048780487804879,0.8354430379746836,0.8048780487804879,0.4444444444444444,0.6246612466124661,0.7536347197106692,0.6246612466124661
38,Swl_lid,8,0.72,0.8552631578947368,0.7926829268292683,0.8227848101265822,0.7926829268292683,0.3888888888888889,0.5907859078590786,0.7346835443037975,0.5907859078590786
39,Swl_lid,9,0.74,0.868421052631579,0.8048780487804879,0.8354430379746836,0.8048780487804879,0.4444444444444444,0.6246612466124661,0.7536347197106692,0.6246612466124661
40,Swl_conj,0,0.88,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.4444444444444444,0.9230769230769231,0.6837606837606838,0.8853333333333334,0.6837606837606839
41,Swl_conj,1,0.88,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.4444444444444444,0.9230769230769231,0.6837606837606838,0.8853333333333334,0.6837606837606839
42,Swl_conj,2,0.88,0.38461538461538464,0.5555555555555556,0.4545454545454546,0.5555555555555556,0.9120879120879121,0.7338217338217339,0.8895607763023493,0.7338217338217339
43,Swl_conj,3,0.88,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.4444444444444444,0.9230769230769231,0.6837606837606838,0.8853333333333334,0.6837606837606839
44,Swl_conj,4,0.87,0.3333333333333333,0.4444444444444444,0.380952380952381,0.4444444444444444,0.9120879120879121,0.6782661782661783,0.8781963288108539,0.6782661782661783
45,Swl_conj,5,0.88,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.4444444444444444,0.9230769230769231,0.6837606837606838,0.8853333333333334,0.6837606837606839
46,Swl_conj,6,0.88,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.4444444444444444,0.9230769230769231,0.6837606837606838,0.8853333333333334,0.6837606837606839
47,Swl_conj,7,0.88,0.38461538461538464,0.5555555555555556,0.4545454545454546,0.5555555555555556,0.9120879120879121,0.7338217338217339,0.8895607763023493,0.7338217338217339
48,Swl_conj,8,0.89,0.4166666666666667,0.5555555555555556,0.4761904761904762,0.5555555555555556,0.9230769230769231,0.7393162393162394,0.8969353551476458,0.7393162393162394
49,Swl_conj,9,0.88,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.4444444444444444,0.9230769230769231,0.6837606837606838,0.8853333333333334,0.6837606837606839
